aba;secao;px_width;linha;sistema;campo;titulo_pt;titulo_en;titulo_es;tipo;opcoes;consulta_tabela;tamanho;editavel_adc;obrigatorio_adc;oculto_adc;editavel_alt;obrigatorio_alt;oculto_alt;editavel_bloq;obrigatorio_bloq;oculto_bloq;editavel_cons;obrigatorio_cons;oculto_cons;integracao;fluig_salva
DADOS ADICIONAIS;--;100;1;Protheus;BZ_EMAX   ;Estoq Maximo;Stock Maximo;Maxim. Stock;number;;      ;14;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_UPRC   ;Ult. Preco  ;Ult. Precio ;Last Price  ;number;;      ;14;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_TIPOCQ ;Tipo de C.Q.;Tipo de C.C.;C.Q. Type   ;date;;      ;8;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_QB     ;Base Estrut.;Base Estruc.;Struct.Base ;date;;      ;8;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_PICM   ;Aliq. ICMS  ;Alic. ICMS  ;ICMS Rate   ;date;;      ;8;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_VLR_ICM;ICMS pauta  ;ICMS tasa   ;Settled ICMS;date;;      ;8;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_INT_ICM;P.ICMS Prop.;P.ICMS Prop.;Own Set ICMS;date;;      ;8;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_PICMRET;Solid.Saida ;Solid.Salida;Outf.Jnt.Lia;text;;      ;10;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_PICMENT;Solid. Entr.;Solid. Entr.;Infl.Jnt Lia;text;;      ;10;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_IPI    ;Aliq. IPI   ;Alic. IPI   ;IPI Rate    ;number;;      ;5;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_VLR_IPI;IPI de Pauta;IPI de Tasa ;Settled IPI ;number;;      ;5;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_REDPIS ;Red. PIS    ;Red. PIS    ;PIS Red.    ;number;;      ;9;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_REDCOF ;Red. COFINS ;Red. COFINS ;COFINS Red. ;number;;      ;5;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_IRRF   ;Imp Renda   ;Imp Renta   ;Income Tax  ;select;1=Sim | 2=Nao                                                                                                                     ;      ;1;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_ORIGEM ;Origem      ;Origen      ;Origin      ;number;;      ;9;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_GRTRIB ;Grupo Trib. ;Grupo Trib. ;Tax. Group  ;number;;      ;9;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_ALIQISS;ALIQ. ISS   ;ALIC. ISS   ;ISS %       ;number;;      ;5;;;;;;;;;;;;;;
